



-15.0	40.7	4.71
-15.0	39.7	4.71
-15.0	38.7	4.71
-15.0	37.7	4.71
-15.0	36.7	4.71
-15.0	35.7	4.71
-15.0	34.7	4.71
-15.0	33.7	4.71
-15.0	32.7	4.71
-15.0	31.7	4.71
-15.0	30.7	4.71
-15.0	29.7	4.71
-15.0	28.7	4.71
-15.0	27.7	4.71
-15.0	26.7	4.71
-15.0	25.7	4.71
-15.0	24.7	4.71
-15.0	23.7	4.71
-15.0	22.7	4.71
-15.0	21.7	4.71
-15.0	20.7	4.71
-15.0	19.7	4.71
-15.0	18.7	4.71
-15.0	17.7	4.71
-15.0	16.7	4.71
-15.0	15.7	4.71
-15.0	14.7	4.71
-15.0	13.7	4.71
-15.0	12.7	4.71
-15.0	11.7	4.71
-15.0	10.7	4.71
-15.0	9.7	4.71
-15.0	8.7	4.71
-15.0	7.7	4.71
-15.0	6.7	4.71
-15.0	5.7	4.71
-15.0	4.7	4.71
-15.0	3.7	4.71
-15.0	2.7	4.71
-15.0	1.7	4.71
-15.0	0.7	4.71
-15.0	-0.3	4.71
-15.0	-1.3	4.71
-15.0	-2.3	4.71
-15.0	-3.3	4.71
-15.0	-4.3	4.71
-15.0	-5.3	4.71
-15.0	-6.3	4.71
-15.0	-7.3	4.71
-15.0	-8.3	4.71
-15.0	-9.3	4.71
-15.0	-10.3	4.71
-15.0	-11.3	4.71
-15.0	-12.3	4.71
-15.0	-13.3	4.71
-15.0	-14.3	4.71
-15.0	-15.3	4.71
-15.0	-16.3	4.71
-15.0	-17.3	4.71
-15.0	-18.3	4.71
-15.0	-19.3	4.71
-15.0	-20.3	4.71
